max_wrist_speed,elbow_angle,release_height,wrist_horizontal_range,wrist_vertical_range,fps,video_name
29389.231567382812,174.71258614299452,48.0222,953.4994,602.684,30.0,FT24-GT_0.mp4
30749.6484375,164.56754148102775,20.631348,1005.61804,514.97064,30.0,FT24-GT_1.mp4
29116.48681640625,159.96405970082134,32.64142,954.15375,637.6168,30.0,FT24-GT_2.mp4
30003.901977539062,18.349643577558343,23.25885,1249.035,622.7874,30.0,FT24-GT_3.mp4
22055.923461914062,93.95139001079386,6.8980103,934.45557,527.89014,30.0,FT24-GT_4.mp4
31187.552490234375,103.23169117240616,484.17453,1244.8683,668.1395,30.0,FT24-GT_5.mp4
18787.831420898438,169.09099752296035,28.88028,786.2764,588.50574,30.0,FT24-GT_6.mp4
31440.1611328125,162.90184932495887,21.552216,1136.3076,538.02576,30.0,FT24-GT_7.mp4
21936.4306640625,173.58061325955504,124.572586,850.16547,560.52606,30.0,FT24-GT_8.mp4
28319.148559570312,143.8330625852236,18.093384,1221.841,598.7162,30.0,FT24-GT_9.mp4
21201.326293945312,135.60689904342078,21.857483,1032.2028,643.68854,30.0,FT25-GT.mp4
